Index Close signals.num Delt1 Delt2 Delt3 Delt4 Delt5 Delt6 Delt7 Delt8 Delt9 Delt10 atr SMI ADX Aroon BB ChaikinVol CLV CMO EMADelt Volat MACD RSI SAR ClMean ClSD
2017-02-21 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.00186344297303913 72.3907186432756 100 0 0.75 0 -3.607422749642e-10 NA 1.19523133334141e-10 NA 0.035740315972101 100 63.6351841401949 63.560699 0
2017-02-22 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.00173033990353633 72.3907186432756 100 0 0.75 0 -2.95152770425255e-10 NA 9.77916545461155e-11 NA 0.0330920476160759 100 63.6322047345871 63.560699 0
2017-02-23 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.00160674419614088 72.3907186432756 100 0 0.75 0 -2.41488630347936e-10 NA 8.00113537195491e-11 NA 0.0306400626764633 100 63.6293445052036 63.560699 0
2017-02-24 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.00149197675355939 72.3907186432756 100 0 0.75 0 -1.97581606648311e-10 NA 6.54638348614492e-11 NA 0.0283698058059263 100 63.6265986849955 63.560699 0
2017-02-27 63.560699 0 0 0 0 0 0 0 0 0 0 0 0.001385406985448 72.3907186432756 100 0 0.75 0 -1.616576781668e-10 NA 5.35613194320948e-11 NA 0.0262678019942296 100 63.6239626975957 63.560699 0
2017-02-28 63.560699 0 0 0 0 0 0 0 0 0 0 0 0.00128644934363029 72.3907186432756 100 0 0.75 0 -1.32265373045564e-10 NA 4.38228977171685e-11 NA 0.024321576249294 100 63.6214321496918 63.560699 0
2017-03-01 63.560699 0 0 0 0 0 0 0 0 0 0 0 0.00119456010479956 72.3907186432756 100 0 0.75 0 -1.08217123400916e-10 NA 3.58550981322288e-11 NA 0.0225195792675208 100 63.6190028237042 63.560699 0
2017-03-02 63.560699 0 0 0 0 0 0 0 0 0 0 0 0.00110923438302816 72.3907186432756 100 0 0.75 0 -8.85412827825673e-11 NA 2.93359893809144e-11 NA 0.0208511186443688 100 63.616670670756 63.560699 0
2017-03-03 63.560699 0 0 0 0 0 0 0 0 0 0 0 0.001030003355669 72.3907186432756 100 0 0.75 0 -7.24428677311914e-11 NA 2.40021731298391e-11 NA 0.0193062952102507 100 63.6144318039258 63.560699 0
2017-03-06 63.560699 0 0 0 0 0 0 0 0 0 0 0 0.000956431687406933 72.3907186432756 100 0 0.75 0 -5.92714372346112e-11 NA 1.96381416516865e-11 NA 0.0178759441080194 100 63.6122824917687 63.560699 0
2017-03-07 63.560699 0 0 0 0 0 0 0 0 0 0 0 0.000888115138306437 72.3907186432756 100 0 0.75 0 -4.84948122828637e-11 NA 1.6067570442289e-11 NA 0.0165515802573863 100 63.610219152098 63.560699 0
